commune,etat,activite_principale,soussection,section,date_creation,date_fermeture
RUAUDIN,Fermé,45.3A,Construction,Construction,1997-09-15,1998-03-16
LE MANS,Fermé,55.4B,Hôtels et restaurants,Hôtels et restaurants,1997-10-01,2002-01-07
BAIS,Fermé,01.2A,"Agriculture, chasse, sylviculture","Agriculture, chasse, sylviculture",1997-01-01,1998-03-31
ORVAULT,Fermé,70.22Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",1997-10-20,2020-06-26
DESERTINES,Fermé,01.3Z,"Agriculture, chasse, sylviculture","Agriculture, chasse, sylviculture",1997-04-01,2003-10-31
ANGERS,Fermé,74.1J,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1997-09-22,2002-01-21
MACHECOUL-SAINT-MEME,Fermé,01.2A,"Agriculture, chasse, sylviculture","Agriculture, chasse, sylviculture",1987-12-31,2003-12-31
NANTES,Fermé,52.4R,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,2001-01-10,2003-01-31
SAINT-GERMAIN-DES-PRES,Fermé,01.13Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",1988-12-31,2010-01-31
TREMENTINES,Fermé,01.45Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",1989-12-31,2014-12-25
SABLE-SUR-SARTHE,Fermé,29.5N,Fabrication de machines et équipements,Industrie manufacturière,1997-10-08,2004-04-27
CONLIE,Fermé,01.11Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",2003-05-01,2019-04-12
SILLE LE GUILLAUME,Fermé,68.20B,Activités immobilières,Activités immobilières,1982-12-31,2021-12-31
LONGUE-JUMELLES,Fermé,01.1A,"Agriculture, chasse, sylviculture","Agriculture, chasse, sylviculture",1984-12-31,2003-12-31
LE LANDREAU,Fermé,33.12Z,Réparation et installation de machines et d'équipements,Industrie manufacturière,2001-08-09,2021-01-31
LE MANS,Fermé,72.2C,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",2004-04-30,2005-03-08
LA FERTE-BERNARD,Fermé,63.4A,Transports et communications,Transports et communications,1998-01-02,
JUBLAINS,Fermé,01.2A,"Agriculture, chasse, sylviculture","Agriculture, chasse, sylviculture",1997-10-01,2003-12-19
BEAULIEU-SUR-OUDON,Fermé,01.2A,"Agriculture, chasse, sylviculture","Agriculture, chasse, sylviculture",1997-11-01,1998-02-01
LE MANS,Fermé,85.1C,Santé et action sociale,Santé et action sociale,1998-01-01,2005-05-23
LA CHAPELLE-SUR-ERDRE,Fermé,68.20A,Activités immobilières,Activités immobilières,1997-12-31,2010-12-31
VUE,Fermé,68.20B,Activités immobilières,Activités immobilières,2015-04-22,2019-09-30
SAINT-ANDRE-DES-EAUX,Fermé,01.1A,"Agriculture, chasse, sylviculture","Agriculture, chasse, sylviculture",,1999-08-01
LA CHAPELLE-PALLUAU,Fermé,78.30Z,Activités liées à l'emploi,Activités de services administratifs et de soutien,2011-03-01,2018-05-17
BAUGE-EN-ANJOU,Fermé,49.41A,Transports terrestres et transport par conduites,Transports et entreposage,2001-04-02,2008-04-03
CHANTONNAY,Fermé,78.30Z,Activités liées à l'emploi,Activités de services administratifs et de soutien,1999-07-06,2018-04-27
NOIRMOUTIER-EN-L'ILE,Fermé,52.4C,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,1999-10-04,2000-09-30
CHALLANS,Fermé,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,1999-10-01,2012-12-31
CHALONNES-SUR-LOIRE,Fermé,68.20A,Activités immobilières,Activités immobilières,2019-12-16,2023-10-01
CHAMPROND,Fermé,01.1A,"Agriculture, chasse, sylviculture","Agriculture, chasse, sylviculture",1999-01-01,2001-12-31
APREMONT,Fermé,70.22Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2020-09-15,2022-03-04
SAINT-JULIEN-DE-CONCELLES,Fermé,74.1C,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1998-09-28,2002-12-31
LA ROCHE-SUR-YON,Fermé,70.3A,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",2003-02-01,2005-03-30
SAINT-MOLF,Fermé,70.10Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",1999-10-25,2010-06-07
SAUMUR,Fermé,68.20A,Activités immobilières,Activités immobilières,2014-03-15,2021-02-15
AVRILLE,Fermé,68.20B,Activités immobilières,Activités immobilières,1990-01-01,2016-03-30
SAINT-JEAN-DE-MONTS,Fermé,70.2A,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1989-01-01,1999-12-31
SAINT-VINCENT-SUR-JARD,Fermé,70.2A,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1993-01-01,2002-12-31
LES SABLES D'OLONNE,Fermé,70.2A,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1995-07-15,2006-12-12
SAVIGNE L'EVEQUE,Fermé,70.2B,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1989-01-01,2005-12-31
PIRIAC-SUR-MER,Fermé,47.64Z,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2001-03-01,2023-06-01
SAINT-HERBLAIN,Fermé,67.1E,Activités financières,Activités financières,2000-01-03,2003-06-14
NANTES,Fermé,74.1J,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1994-02-08,2001-12-31
NANTES,Fermé,74.1J,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",2001-01-26,2005-03-31
LE CROISIC,Fermé,70.2C,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1998-08-24,2004-12-18
VERRIERES-EN-ANJOU,Fermé,70.22Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2006-11-01,2018-07-31
NANTES,Fermé,85.1G,Santé et action sociale,Santé et action sociale,2000-02-08,2003-05-15
LA FLECHE,Fermé,47.78C,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2015-04-09,2015-12-31
OMBREE D'ANJOU,Fermé,01.42Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",2000-03-01,2017-12-31
SEVREMOINE,Fermé,47.11C,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2007-06-15,2008-10-21
MESNARD-LA-BAROTIERE,Fermé,43.12A,Travaux de construction spécialisés,Construction,2000-04-03,2024-09-30
LE MANS,Fermé,92.3A,"Services collectifs, sociaux et personnels","Services collectifs, sociaux et personnels",2002-01-01,2004-10-01
NANTES,Fermé,52.4C,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,2000-04-15,
MONTREVAULT-SUR-EVRE,Fermé,01.41Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",2000-04-01,2022-09-30
PONTCHATEAU,Fermé,74.1J,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1999-11-01,2002-08-31
ALEXAIN,Fermé,01.3Z,"Agriculture, chasse, sylviculture","Agriculture, chasse, sylviculture",1970-01-01,1997-01-06
NANTES,Fermé,66.19B,Activités auxiliaires de services financiers et d'assurance,Activités financières et d'assurance,2000-06-15,2010-07-05
LA BAULE-ESCOUBLAC,Fermé,74.1J,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",2000-05-22,2000-05-22
LA BAULE-ESCOUBLAC,Fermé,74.1J,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1999-10-23,1999-10-23
PONTCHATEAU,Fermé,85.53Z,Enseignement,Enseignement,2003-10-01,2012-12-31
SAINT-AIGNAN-SUR-ROE,Fermé,51.1A,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,,1995-12-31
PLESSE,Fermé,01.41Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",1993-03-01,2010-05-01
ANGERS,Fermé,52.4V,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,1996-02-16,1998-12-31
ANGERS,Fermé,15.8B,Industries agricoles et alimentaires,Industrie manufacturière,,1994-06-22
GROSBREUIL,Fermé,47.73Z,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,1993-06-08,2009-06-01
JARZE VILLAGES,Fermé,51.1R,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,,1996-12-18
DOUE-EN-ANJOU,Fermé,01.13Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",1993-07-19,2010-12-31
SAINT-LAMBERT-LA-POTHERIE,Fermé,74.2C,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",,1995-08-30
LA FLECHE,Fermé,41.20A,Construction de bâtiments,Construction,2008-12-12,2012-12-17
BAZOGES-EN-PAREDS,Fermé,01.2A,"Agriculture, chasse, sylviculture","Agriculture, chasse, sylviculture",,1993-08-31
FROIDFOND,Fermé,01.41Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",1993-07-01,2020-12-31
VIGNEUX-DE-BRETAGNE,Fermé,50.1Z,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,1994-08-01,1997-01-08
VALLET,Fermé,93.0D,"Services collectifs, sociaux et personnels","Services collectifs, sociaux et personnels",1993-10-02,2002-10-30
MELLERAY,Fermé,01.2A,"Agriculture, chasse, sylviculture","Agriculture, chasse, sylviculture",,1994-05-01
CHOLET,Fermé,67.2Z,Activités financières,Activités financières,1996-06-01,2003-10-06
NANTES,Fermé,68.20B,Activités immobilières,Activités immobilières,2016-06-20,2022-11-22
MONTREVAULT-SUR-EVRE,Fermé,01.42Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",1993-12-13,2017-12-31
ANGERS,Fermé,45.2V,Construction,Construction,,1994-10-31
LA FERTE-BERNARD,Fermé,95.29Z,Réparation d'ordinateurs et de biens personnels et domestiques,Autres activités de services,1997-12-01,2017-11-30
BOUCHEMAINE,Fermé,70.3A,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",,1996-06-30
MONTVAL-SUR-LOIR,Fermé,10.71C,Industries alimentaires,Industrie manufacturière,2006-09-02,2013-04-30
CHEMILLE-EN-ANJOU,Fermé,88.10A,Action sociale sans hébergement,Santé humaine et action sociale,1994-01-01,2011-12-31
SARRIGNE,Fermé,01.2A,"Agriculture, chasse, sylviculture","Agriculture, chasse, sylviculture",1994-01-01,2007-01-15
MENIL,Fermé,74.1G,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1994-04-12,2001-03-31
NANTES,Fermé,85.59A,Enseignement,Enseignement,2010-02-15,2011-09-30
SAINT-CALAIS,Fermé,14.13Z,Industrie de l'habillement,Industrie manufacturière,1995-05-05,2011-12-24
SEGRE-EN-ANJOU BLEU,Fermé,85.1E,Santé et action sociale,Santé et action sociale,1993-04-01,2000-08-15
LOIRE-AUTHION,Fermé,86.90F,Activités pour la santé humaine,Santé humaine et action sociale,2011-04-11,2011-08-31
GUERANDE,Fermé,47.91B,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2002-03-01,2020-07-01
BOUEE,Fermé,92.6C,"Services collectifs, sociaux et personnels","Services collectifs, sociaux et personnels",2002-01-01,2004-09-01
LES HERBIERS,Fermé,55.3A,Hôtels et restaurants,Hôtels et restaurants,2002-02-15,2004-12-27
BALLON-SAINT MARS,Fermé,43.91B,Travaux de construction spécialisés,Construction,2014-06-16,2021-03-31
NORT-SUR-ERDRE,Fermé,43.91A,Travaux de construction spécialisés,Construction,2002-04-03,2015-07-17
VERNANTES,Fermé,86.90A,Activités pour la santé humaine,Santé humaine et action sociale,2002-01-01,2016-11-21
COUERON,Fermé,74.1G,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",2002-04-02,2005-01-31
SAUMUR,Fermé,74.1C,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",2002-05-01,2003-10-10
SAUMUR,Fermé,74.1C,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",2003-10-10,2006-10-31
BEAUPREAU-EN-MAUGES,Fermé,22.2J,Industrie du papier et du carton ; édition et imprimerie,Industrie manufacturière,2002-05-02,2003-06-20
BEAUPREAU-EN-MAUGES,Fermé,18.13Z,Imprimerie et reproduction d'enregistrements,Industrie manufacturière,2011-04-01,2016-05-04
CORZE,Fermé,86.90F,Activités pour la santé humaine,Santé humaine et action sociale,2012-05-28,2014-03-29
ANGERS,Fermé,86.22C,Activités pour la santé humaine,Santé humaine et action sociale,2006-03-01,2020-02-29
CARQUEFOU,Fermé,74.1G,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",2002-07-01,2005-06-03
LE MANS,Fermé,70.22Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2002-09-01,2008-05-16
LE MANS,Fermé,74.2C,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",2002-06-21,2005-03-22
LES SABLES D'OLONNE,Fermé,92.3A,"Services collectifs, sociaux et personnels","Services collectifs, sociaux et personnels",2002-07-01,
LA SEGUINIERE,Fermé,86.90E,Activités pour la santé humaine,Santé humaine et action sociale,2023-04-01,2023-11-15
CHAMPAGNE,Fermé,85.59A,Enseignement,Enseignement,2002-04-29,2016-12-31
LA SEGUINIERE,Fermé,68.20B,Activités immobilières,Activités immobilières,2002-07-15,2019-12-31
LES SABLES D'OLONNE,Fermé,55.1A,Hôtels et restaurants,Hôtels et restaurants,2002-06-15,2004-11-15
LE MANS,Fermé,74.1J,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",2002-07-01,2004-02-10
LANDERONDE,Fermé,70.10Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2012-04-30,2017-02-17
THOUARE-SUR-LOIRE,Fermé,68.20B,Activités immobilières,Activités immobilières,2002-07-08,2010-09-03
SAINT-SEBASTIEN-SUR-LOIRE,Fermé,70.22Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2015-02-01,2021-03-16
DOMPIERRE-SUR-YON,Fermé,74.1J,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",2002-10-01,2007-08-30
LA BOISSIERE-DE-MONTAIGU,Fermé,68.10Z,Activités immobilières,Activités immobilières,2002-11-25,2021-07-13
TRELAZE,Fermé,68.20B,Activités immobilières,Activités immobilières,2002-11-04,2018-09-03
FAY-DE-BRETAGNE,Fermé,45.3E,Construction,Construction,2003-01-03,2004-03-31
NANTES,Fermé,46.69A,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2007-10-31,2011-09-15
MAZE-MILON,Fermé,68.31Z,Activités immobilières,Activités immobilières,2003-08-01,2010-08-27
VEZINS,Fermé,01.42Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",2003-01-01,2010-03-31
SAINT-GILLES-CROIX-DE-VIE,Fermé,52.4T,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,2003-01-01,2006-04-30
L'ILE-D'OLONNE,Fermé,68.20A,Activités immobilières,Activités immobilières,2003-01-21,2017-04-10
DESERTINES,Fermé,01.42Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",2003-01-28,2017-07-31
NANTES,Fermé,74.1J,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",2002-12-01,2004-04-30
LA PLAINE-SUR-MER,Fermé,43.32A,Travaux de construction spécialisés,Construction,2003-04-01,2008-06-15
AVESSAC,Fermé,33.12Z,Réparation et installation de machines et d'équipements,Industrie manufacturière,2005-01-05,2008-12-31
SAINT-NAZAIRE,Fermé,74.1J,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",2003-05-13,2004-04-14
SAINT-GILLES-CROIX-DE-VIE,Fermé,55.3B,Hôtels et restaurants,Hôtels et restaurants,2003-04-01,2006-09-30
